title,id
Абакан,1
Абдулино,2
Абинск,3
Агой,4
Агрыз,5
Адлер,6
Адыгейск,7
Азнакаево,8
Азов,9
Аксай (Казахстан),10
Аксай (Ростовская область),11
Аксукент,12
Актау,13
Актобе,14
Алабино,15
Алапаевск,16
Алга (Актюбинская обл),17
Алдан,18
Алейск,19
Александров,20
Александровск (Пермский край),21
Александровск-Сахалинский,22
Алексеевка,23
Алексеевское,24
Алексин,25
Алматы,26
Алушта,27
Альметьевск,28
Амурск,29
Анапа,30
Ангарск,31
Анжеро-Судженск,32
Апатиты,33
Апрелевка,34
Апшеронск,35
Арамиль,36
Ардатов,37
Арзамас,38
Армавир,39
Армения,40
Армянск,41
Арсеньев,42
Арсеньево,43
Артем,44
Архангельск,45
Архипо-Осиповка,46
Асбест,47
Астана,48
Астрахань,49
Атырау,50
Афипский,51
Ахтубинск,52
Ачинск,53
Аша,54
Бавлы,55
Багдарин,56
Байконур (Кызылорд. обл),57
Баймак,58
Баку,59
Балабаново,60
Балаково,61
Балахна,62
Балашиха,63
Балашов,64
Балей,65
Балтым,66
Балхаш,67
Барабинск,68
Барановичи,69
Барда (Пермский край),70
Барнаул,71
Батайск,72
Бахчисарай,73
Бежецк,74
Безенчук,75
Бейнеу (Мангистауская обл),76
Белая Калитва,77
Белая Холуница,78
Белая Церковь,79
Белгород,80
Белебей,81
Белев,82
Белово,83
Белогорск,84
Белозерск,85
Белоозёрский (Московская область),86
Белоомут,87
Белорецк,88
Белореченск,89
Белоусово,90
Белоярский,91
Бердск,92
Березники,93
Березовский (Свердловская область),94
Бийск,95
Биробиджан,96
Бирск,97
Бирюч,98
Бишкек,99
Благовещенск (Амурская область),100
Благовещенск (Республика Башкортостан),101
Благодарный,102
Бобруйск,103
Богородицк,104
Богородск,105
Бодайбо,106
Болгария,107
Бологое,108
Большое Болдино,109
Бор,110
Борисов,111
Борисовка,112
Борисоглебск,113
Боровичи,114
Боровск,115
Бородино,116
Бразилия,117
Братск,118
Брест,119
Бронницы,120
Брюховецкая станица,121
Брянск,122
Бугры,123
Бугульма,124
Бугуруслан,125
Буденновск,126
Бузулук,127
Буинск,128
